name;recipe;ingredients;country;time
Энергетический напиток из какао;Залить какао и кофе кипятком, размешать. Добавить сахар, яйцо, пшеницу и молоко. Залить все в блендер и взбить на большой скорости.;Вода: 30 мл, Какао: 2 чайные ложки, Растворимый кофе: 1 чайная ложка, Сахар: 2 чайные ложки, Куриное яйцо: 1 штука, Молоко: 400 мл, Ростки пшеницы: 1 чайная ложка;Китайская кухня;10 минут
Печеные груши с овсянкой в меду;Разогрейте духовку до 190 градусов. В миске смешайте овсянку, коричневый сахар, миндаль и корицу, перемешайте. Добавьте масло, размешайте до однородной массы. Добавьте изюм. Разрежьте груши пополам (не очищайте) и вырежьте сердцевину. Положите половинки груш в форму для выпечки и смажьте груши сверху растопленным маслом. Заполните серединки груш овсяной смесью, приготовленной ранее. Запекайте в течение 25 минут, пока груши не станут мягкими, и начинка слегка не подрумянится. Полейте медом и йогуртом, подавайте теплыми на завтрак или с мороженым на десерт.;Овсяные хлопья: 1 стакан, Светло-коричневый сахар: 0,4 стаканов, Миндаль: 70 г, Молотая корица: ¼ чайные ложки, Сливочное масло: 50 г, Изюм: 3 столовые ложки, Груши: 4 штуки, Мед: по вкусу;Русская кухня;40 минут
Пшенная каша с тыквой;Тыкву чистим от кожуры и нарезаем небольшими кубиками — не более 1–2 см. Кладем в кастрюлю, заливаем водой — не сильно, чтобы тыква была немного закрыта водой. И варим на среднем огне в течение пяти минут. Затем добавляем пшено и продолжаем варить, периодически помешивая, пока вся вода не впитается в крупу. Тыква к этому времени уже станет мягкой, и кубики можно ложкой измельчить прямо в кастрюле (по крайней мере мне больше нравится более однородная консистенция каши). Выливаем в нашу будущую кашу стакан молока, уменьшаем огонь до самого слабого и продолжаем варить, не переставая помешивать — иначе молоко рискует легко пригореть. Когда молоко наполовину исчезнет, добавляем оставшуюся часть, вместе с этим добавляем сахар (в моем случае, кстати, это был порошок стевии) и соль и продолжаем варить, все время помешивая. На это уйдет еще минут 15–20, но стоит запастить терпением — чем дольше и медленнее варим кашу, тем вкуснее она в итоге получится. Последние несколько минут можно довести в духовке, так каша будет только вкуснее! Не переживайте, если каша поначалу покажется слишком жидкой. Ей нужно дать настояться — для этого накрываем кастрюлю крышкой и заворачиваем в полотенце, а лучше в несколько. 20–30 минут каша должна постоять, от этого ее вкус улучшится в сто раз. И только теперь можно подавать кашу на стол, предварительно посыпав молотой корицей (если любите ее, конечно, так, как люблю ее я!);Тыква: 250 г, Пшено: 1 стакан, Молоко: 500 мл, Сахар: по вкусу, Соль: по вкусу, Корица: по вкусу;Русская кухня;1 час
Яичный ролл (тамагояки);В маленьком сотейнике смешать половину соевого соуса, мед, половину бульона, рисовый уксус — это будет соус для ролла. Прогреть на маленьком огне до полного растворения меда. Загустить соус кукурузным крахмалом, разведенным в двух столовых ложках воды. Немного поварить. Снять с огня. Тем временем вилкой или венчиком смешать яйца, оставшиеся соевый соус и бульон. По желанию можно добавить немного сахара. Смазать сковороду растительным маслом с помощью специальной кисточки, половинки сырой картошки или бумажной салфетки. Разогреть. Налить на сковородку немного яичной смеси, как будто это тонкий блин. Когда блин схватится, свернуть его в рулет при помощи деревянных палочек. Оставить рулет на сковородке у самой стенки. Сковородку опять смазать маслом. Налить вторую порцию яичной смеси так, чтобы она затекла под рулет. Когда смесь схватится, свернуть в другую сторону с уже готовым рулетом. Продолжать, пока смесь не кончится. Готовый ролл перенести на доску и нарезать поперек острым ножом на ломтики толщиной примерно по 3 см (как это делают с обычными роллами). Полить соусом.;Соевый соус: 2 столовые ложки, Куриное яйцо: 4 штуки, Мед: 1 столовая ложка, Бульон: 4 столовые ложки, Рисовый уксус: 1 столовая ложка, Кукурузный крахмал: 1 чайная ложка, Коричневый сахар: по вкусу, Растительное масло: 50 мл;Японская кухня;20 минут
Фриттата с мидиями и овощами;Лук, перец, помидор, нарезанные очень тонкими полосками, обжариваем, затем тушим с мидиями в оливковом масле примерно 10 минут, пока перец не станет мягким и не выпарится почти вся жидкость. Тем временем яйца взбалтываем с солью и парой ложечек воды и заливаем ими овощи с мидиями. Взбитые яйца можно смешать со свежей мелко порезанной зеленью (зеленый лук, петрушка, укроп и т. п., что есть) либо посыпать сверху сухими итальянскими специями (орегано, базилик и т. п.), кому как нравится. Когда омлет под крышкой поднимется, сразу подаем на стол.;Репчатый лук: 1 головка, Соль: по вкусу, Зелень: 1 пучок, Помидоры: 1 штука, Сладкий перец: 1 штука, Мидии: 50 г, Куриное яйцо: 2 штуки;Итальянская кухня;20 минут
Сырники с ванильным сахаром;Творог растереть с сахаром и ванильным сахаром. Добавить яйца, перемешать. Добавить муку. Хорошо перемешать (так как творог бывает сухой, бывает влажный, муки может понадобиться чуть больше или меньше.Тесто не должно быть густым, оно должно прилипать к рукам). Из теста сформировать небольшие лепешечки, обвалять их в муке. В сковороду налить немного масла, разогреть, выложить сырники. Жарить на среднем огне до золотистого цвета. Перевернуть, пожарить с другой стороны.;Ванильный сахар: 2 чайные ложки, Сахар: 2 столовые ложки, Пшеничная мука: 100 г, Куриное яйцо: 2 штуки, Растительное масло: 100 мл, Творог 5%-ный: 400 г;Украинская кухня;25 минут
Омлет с молоком;Подготовить все ингредиенты. Смешать яйца с молоком. Жарить на сковородке до полуготовности. Переставить в духовку и печь до готовности.;Куриное яйцо: 2 штуки, Молоко: 20 мл;Французская кухня;20 минут
Омлет с тунцом;Разогрейте в сковороде 2 столовые ложки кукурузного масла. Выложите в сковороду мелко нарезанный лук и жарьте его, помешивая, на маленьком огне до мягкости, не дожидаясь, когда лук подрумянится (примерно 5 минут). Добавьте в сковороду тунца и продолжайте жарить еще несколько минут, разламывая рыбу на кусочки вилкой или лопаткой. Разогрев оставшееся масло в другой сковороде, вылейте в нее предварительно взбитые яйца. Когда яйца начнут обретать форму, выложите в середину тунца, сверните омлет и подавайте на стол.;Репчатый лук: 1 головка, Кукурузное масло: 5 столовых ложек, Консервированный тунец в собственном соку: 50 г, Куриное яйцо: 4 штуки, Соль: по вкусу;Французская кухня;1 час
Дрочена;Половину пудры смешать с 50 граммами размягченного сливочного масла. Другую половину взбить с желтками добела. Соединить масло и желтки вместе, посолить и хорошо перемешать. Просеять пшеничную и ржаную муку, постепенно всыпать муку в яичную смесь, также постепенно вливая молоко. Должно получиться жидкое эластичное тесто. Разогреть глубокую сковородку, которая подойдет для духовки, растопить в ней масло. Влить тесто и поставить в духовку, разогретую до 180 градусов, на 30 минут.;Пшеничная мука: 130 г, Ржаная мука: 130 г, Молоко: 500 мл, Сливочное масло: 80 г, Яичный желток: 3 штуки, Сахарная пудра: 70 г, Соль: ½ чайные ложки;Русская кухня;40 минут
Банановый десерт с кефиром;Очистить банан от кожуры и выложить его в кастрюлю. Раздавить банан аккуратно вилкой, чтобы его было легко измельчить миксером или блендером. Смешать в блендере раздавленный банан, мед и вылить кефир туда. Вылить полученную массу в формочку и поставить на холод на 4 часа.;Обезжиренный кефир: 300 мл, Мед: 40 г, Бананы: 2 штуки;Европейская кухня;4 часа  10 минут
Шоколадная манная каша с банановым муссом;Налейте молоко в небольшой сотейник и доведите до кипения. Постепенно всыпьте манную крупу в горячее молоко, быстро перемешивая, дабы не образовалось комочков. Варите на среднем огне до загустения примерно 5 минут, постоянно мешая. Снимите кашу с огня и вмешайте 2 чайные ложки пасты Nutella. Накройте крышкой и дайте постоять. Для бананового мусса очистите банан от кожуры, порежьте на дольки, погрузите в миксер, добавьте ½ чайную ложку лимонного сока, сливки, чайную ложку сахара и взбейте до однородности. Результат перелейте в соусник. Разложите кашу по тарелкам, сверху посыпьте измельченным фундуком и подавайте с банановый соусом.;Манная крупа: 80 г, Nutella®: 2 чайные ложки, Бананы: 1 штука, Сливки 33%-ные: 100 мл, Лимонный сок: ½ чайные ложки, Очищенный фундук: по вкусу, Молоко: 280 мл;Русская кухня;15 минут
Кайзершмаррн;Изюм перемешать с ромом и дать постоять 15 минут. Отделить белки от желтков и взбить белки до мягких пик с щепоткой соли. Желтки взбить отдельно с молоком, цедрой лимона, ванильным экстрактом, сахаром и мукой. К тесту из желтков добавить белки и аккуратно перемешать снизу вверх, стараясь на разрушить воздушную текстуру. В сковороде растопить сливочное масло на среднем огне, влить тесто и равномерно посыпать изюмом. Накрыть крышкой и жарить 10 минут, затем перевернуть и жарить еще 10 минут. Чтобы перевернуть омлет, возможно, придется разделить его на несколько частей, но это не страшно. Разделить лопаткой готовый омлет на небольшие кусочки, посыпать его сахарной пудрой и подавать с любимым вареньем или джемом.;Куриное яйцо: 6 штук, Молоко: 400 мл, Пшеничная мука: 200 г, Изюм: 2 столовые ложки, Ванильный экстракт: ½ чайные ложки, Сахар: 3 столовые ложки, Ром: 1 столовая ложка, Лимонная цедра: по вкусу, Соль: щепотка, Сливочное масло: 20 г, Сахарная пудра: по вкусу;Австрийская кухня;30 минут
Пудинг рисовый;Промытый рис варить в кипятке 10 минут. После этого воду слить, а рис залить горячим молоком, добавить соль и, помешивая, варить 25–30 минут. Затем добавить сахар, яйца, изюм, все это хорошо размешать, переложить на смазанную маслом и посыпанную сухарями сковороду или в кастрюлю и запечь. Готовый пудинг выложить на блюдо, разрезать на порции и подать с фруктово-ягодным соусом.;Рис: 1 стакан, Молоко: 2 стакана, Сахар: 3 столовые ложки, Куриное яйцо: 2 штуки, Соль: ½ чайные ложки, Изюм: 50 г, Сливочное масло: 2 столовые ложки;Русская кухня;30 минут
Фриттата алла наполитана;Спагетти бросить в кипящую подсоленную воду, варить до состояния аль-денте, согласно инструкции на упаковке. Взбить яйца с солью, перцем и тертым пармезаном до однородной массы. Добавить к яйцам спагетти и хорошо перемешать. В сковороде разогреть оливковое масло, выложить спагетти с яйцами, лопаткой распределить их ровным слоем. Жарить на небольшом огне 10-15 минут, пока низ фриттаты не станет золотистым. Накрыть сковороду тарелкой, перевернуть и выложить фриттату на сковороду вверх ногами, жарить еще 5 минут.;Спагетти: 150 г, Куриное яйцо: 3 штуки, Сыр пармезан: 50 г, Оливковое масло: 50 мл, Соль: по вкусу, Молотый черный перец: по вкусу;Итальянская кухня;30 минут
Панкейки с топленым маслом;Яйца взбить с сахаром и солью до появления пены. Добавить стакан молока, хорошо взбить венчиком, постепенно всыпать муку, постоянно разбивая комочки венчиком. Повторить предыдущий пункт, добавив оставшиеся стаканы молока и муки. Влить топленое сливочное масло. Добавить разрыхлитель в тесто и еще раз хорошо перемешать. Оставить постоять минут 5–10. За это время разогреть сковороду. Жарить на умеренном огне. Как только появятся и начнут лопаться пузырьки, перевернуть оладушек и жарить еще секунд 20.;Пшеничная мука: 2 стакана, Разрыхлитель: 2 чайные ложки, Соль: ¼ чайные ложки, Сахар: 2 столовые ложки, Куриное яйцо: 2 штуки, Молоко: 2 стакана, Топленое масло: 2 столовые ложки;Американская кухня;20 минут
Сырники с манной крупой;Смешать в миске творог, яйцо, сахар, муку, манку и ванилин. В тарелке смешать муку с манкой. Столовой ложкой выложить в тарелочку с мукой, обвалять, сформировать шарик в руках и надавить ладонью, чтобы получилась лепешка. Выпекать на разогретой сковороде.;Творог: 250 г, Куриное яйцо: 1 штука, Манная крупа: 3 столовые ложки, Пшеничная мука: 2 столовые ложки, Сахар: по вкусу, Ванилин: по вкусу;Русская кухня;15 минут
Панкейки с кремом;Яйца взбить с сахаром и солью до появления пены. Добавить стакан молока, хорошо взбить венчиком, постепенно всыпать муку, постоянно разбивая комочки венчиком. Влить растительное масло. Погасить соду, добавить в тесто и еще раз хорошо перемешать. Оставить постоять минут 5–10. За это время разогреть сковороду. Жарить на умеренном огне. Как только появятся и начнут лопаться пузырьки, перевернуть и жарить еще секунд 20. Смешать сгущенку и сливочное масло и поставить в холодильник на полчаса.;Куриное яйцо: 2 штуки, Соль: 1 чайная ложка, Сахар: 3 столовые ложки, Молоко: 2 стакана, Пшеничная мука: 2 стакана, Растительное масло: 1 столовая ложка, Гашеная сода: 1 чайная ложка, Сгущенное молоко: 120 г, Сливочное масло: 50 г;Американская кухня;40 минут
Сырники сладкие тушеные;В творог, растертый со сливочным маслом, добавить взбитые отдельно яйца, соль, муку, хорошо перемешать, замесить тесто. Из получившегося теста сформировать шарики, приплюснуть в лепешки, оставить ненадолго на разделочной доске. Обжаривать сырники с двух сторон в хорошо разогретом растительном масле. Снять сковороду с огня, добавить в оставшееся растительное масло мед, подождать, пока растает, добавить сметану, молоко, хорошо перемешать. Получившийся соус довести до кипения на слабом огне. Сырники залить соусом, прикрыть крышкой и потушить на слабом огне 3 минуты.;Творог: 600 г, Сливочное масло: 70 г, Куриное яйцо: 2 штуки, Пшеничная мука: ¾ стакана, Сметана: 4 столовые ложки, Молоко: ½ стакана, Мед: 2 столовые ложки, Соль: 1 чайная ложка, Растительное масло: 50 мл;Русская кухня;35 минут
Сырники с яблоками и сухофруктами;В протертый через сито творог добавить сахар, яйца, муку, мелко нарезанные размоченные сухофрукты (курагу и изюм), натертое на терке яблоко, хорошо перемешать. Сформировать сырники и жарить в хорошо разогретом масле до образования румяной корочки.;Творог: 250 г, Сахар: 150 г, Куриное яйцо: 2 штуки, Пшеничная мука: 50 г, Яблоко: 1 штука, Сухофрукты: 60 г, Растительное масло: 4 столовые ложки;Белорусская кухня;30 минут
Яичница с колбасой в булке;У булочек срезать верх и аккуратно удалить мякиш (чтобы не повредить стенки). Колбасу мелко нарезать и разложить по получившимся «стаканчикам». Яйца размешать, поперчить, посолить, добавить мелко нарезанный укроп и еще раз перемешать. Залить полученную смесь в подготовленные булочки. Запекать на максимальной мощности СВЧ-печи примерно 3 минуты.;Куриное яйцо: 4 штуки, Булочка: 4 штуки, Вареная колбаса: 150 г, Укроп: 2 столовые ложки, Соль: по вкусу, Молотый черный перец: по вкусу;Европейская кухня;10 минут
Творожная лимонно-кофейная запеканка;Все продукты тщательно взбить миксером до пышной массы. Массу разделить на 2 части. К одной добавить сок и цедру лимона. Ко второй — растворимый кофе. Выкладывать массы ложками одна возле другой в смазанную маслом и обсыпанную манкой форму. Дальше второй и третий ряд вверх, все время чередуя цвета. Выпекать 30 минут при 180 градусах.;Сметана: 100 г, Мягкий творог: ½ кг, Сахар: 4 столовые ложки, Куриное яйцо: 4 штуки, Манная крупа: 4 столовые ложки, Растворимый кофе: 2 столовые ложки, Лимонный сок: 2 столовые ложки, Тертая лимонная цедра: 2 столовые ложки;Творожные запеканки;40 минут
Сырники с бананом и творогом;Духовку разогреваем до 180 градусов. Творог выложить в миску и размять вилкой. К творогу добавить банан (лучше всего потереть его на крупной терке) и смешать все до однородной массы. Противень застелить бумагой для выпечки, либо смазать небольшим количеством сливочного масла. Выложить на него творожно-банановую массу, удобнее будет поделить ее на несколько лепешек, а не делать один большой, и отправить в духовку минут на 10. Затем лепешки достать и перевернуть аккуратно на другую сторону и снова отправить в духовку, но уже минут на 5.;Бананы: 1 штука, Обезжиренный творог: 150 г;Русская кухня;15 минут
Китайский омлет;Во взбитые яйца добавляем нарезанную кубиками вареную курицу, мелко порезанный шнитт-лук и очищенные креветки. Приправляем соевым соусом и соусом чили, тщательно вымешиваем. Выкладываем в разогретое на сковороде масло и готовим, помешивая, 5 минут. Выкладываем на тарелку, нарезаем на квадраты.;Куриное яйцо: 8 штук, Очищенные креветки: 12 штук, Курица: 225 г, Шнитт-лук: 2 столовые ложки, Соевый соус: 2 столовые ложки, Соус чили: по вкусу, Растительное масло: 2 столовые ложки;Китайская кухня;10 минут
Острый чай с имбирем и лимонной травой;Смешать сок двух лимонов и литр воды. Бросить туда же тертый имбирь и сухую лимонную траву. Поставить на медленный огонь и варить десять минут. Снять с огня и дать настояться минут десять-пятнадцать. Процедить и подавать к столу в маленьких чашках чуть теплым, выдавив в чашку, если хочется свежести, немного сока лайма или лимона.;Имбирь: 100 г, Лимон: 2 штуки, Лимонная трава: 2 столовые ложки;Китайская кухня;25 минут
Пшенная каша с карамельной тыквой;Тыкву нужно очистить и нарезать некрупными кубиками. Сливочное масло нужно растопить на сильном огне. Можно сразу использовать большую кастрюлю — ту, в которой вы будете варить кашу. Когда масло растопится и начнет шкворчать, добавляем тыкву, четверть ложки соли, всю корицу и 2 ст. л. сахара. Обжариваем 5–7 минут до появления отчетливого запаха тыквы и карамели. К обжаренной тыкве добавляем весь подготовленный объем молока, уменьшаем огонь и тушим тыкву 15–20 минут под крышкой. Пшенную крупу тщательно промываем сначала холодной, затем горячей водой до тех пор, пока вода после промывания не побежит прозрачная. Это нужно для того, чтобы смыть возможные загрязнения и мучнистый налет с крупы, и чтобы готовая каша не горчила. Добавляем к тыкве пшенную крупу, оставшуюся соль и чашку воды. Перемешиваем, накрываем крышкой и готовим еще 40-45 минут. Иногда поднимайте крышку и помешивайте кашу. Если вся жидкость впитается раньше, а пшенка покажется вам недостаточно мягкой — добавьте еще немного горячей воды. В готовую кашу можно добавить еще сливочного масла и сахара (или меда) по вкусу. Кашу, приготовленную по этому рецепту, очень вкусно есть с грецкими орехами и изюмом.;Тыква: 500 г, Пшено: 250 г, Молоко: 500 мл, Вода: 250 мл, Сливочное масло: 15 г, Соль: 1 чайная ложка, Молотая корица: ½ чайные ложки, Сахар: 2 столовые ложки;Русская кухня;1 час
Рисовая каша с черной чечевицей;Лук, морковь и сельдерей мелко нарубить и обжарить на растительном масле в глубоком сотейнике до мягкости. Высыпать в сотейник чечевицу и жарить ее с овощами, помешивая, две-три минуты. После чего залить бульоном и варить десять минут. Высыпать в сотейник рис, перемешать с чечевицей и овощами и варить еще пятнадцать-восемнадцать минут, добавляя воды и бульона, если они выкипают. Заправить рубленой петрушкой и снять с огня.;Рис арборио: 400 г, Черная чечевица: 200 г, Сельдерей: 1 стебель, Желтый лук: 1 головка, Морковь: 1 штука, Куриный бульон: 2 л, Петрушка: 20 г, Соль: по вкусу, Растительное масло: 50 мл, Молотый черный перец: по вкусу;Индийская кухня;35 минут
Нежный творожный пудинг с изюмом;Растирайте творог с сахаром, пока сахар не растворится. Добавьте яичные желтки, масло, соль и ванильный экстракт. Вмешайте муку и изюм (по желанию) и замесите густое тесто. Взбейте яичные белки до устойчивых пиков. Осторожно вмешайте взбитые белки в творожное тесто. Готовьте пудинг в мультиварке на режиме «выпечка» 60 минут, либо 25–30 минут в духовом шкафу при температуре 250 градусов. После выпекания оставьте пудинг остывать на 10 минут. Затем выложите пудинг на тарелку.;Творог: 400 г, Сахар: 150 г, Сливочное масло: 1 столовая ложка, Куриное яйцо: 2 штуки, Пшеничная мука: 4 столовые ложки, Изюм: по вкусу, Ванильный экстракт: ½ чайные ложки, Соль: ½ чайные ложки;Французская кухня;1 час  20 минут
Овсяная каша с корицей;Порезать половину апельсина дольками, а половину банана — кружочками. Разложить полукругом на тарелке. В небольшой кастрюле довести до кипения полтора стакана молока. Всыпать овсяные хлопья в кипящее молоко. Помешивая, добавить корицу и ванильный сахар. По истечение 3–5 минут снять кастрюлю с плиты. Добавить готовую кашу на тарелку с апельсином и бананом.;Молоко: 1,5 стаканов, Молотая корица: 2 чайные ложки, Овсяные хлопья: 1 стакан, Ванильный сахар: 2 чайные ложки, Апельсины: 1 штука, Бананы: 1 штука;Мексиканская кухня;20 минут
Простой омлет с сыром;2 яйца взбить, посолить, добавить 2–3 ложки молока. Вылить на разогретую сковороду. Когда снизу омлет уже поджарится, насыпать тертый сыр на половину омлета, накрыть второй половинкой. Накрыть крышкой и оставить на 1 минутку, чтобы сыр расплавился. Подавать с хлебцами или тостами.;Куриное яйцо: 2 штуки, Молоко: 3 столовые ложки, Голландский сыр: 30 г, Соль: щепотка;Французская кухня;10 минут
Сосиски с яйцами;Подготовить все ингредиенты. Сосиски разрезать вдоль, не дорезая 2 см с одного края. Концы скрепить зубочистками так, чтобы получилось сердце. Обжаривать с одной стороны. Перевернуть. Разбить яйцо. . Посолить, поперчить;Франкфуртский сосиски: 2 штуки, Куриное яйцо: 2 штуки, Соль: по вкусу, Подсолнечное масло: 1 столовая ложка, Молотый черный перец: по вкусу;Европейская кухня;10 минут
Сырники с бананом;Размять творог вилкой, добавить яйцо и перемешать. Банан мелко нарезать и добавить к творогу. Добавить сахар, муку и перемешать до однородной массы. Сформировать сырники и обжарить на растительном масле. При подаче можно добавить сметану или любимое варенье.;Творог 1%-ный: 400 г, Бананы: 1 штука, Сахар: 3 чайные ложки, Ванильный сахар: 1 чайная ложка, Куриное яйцо: 1 штука, Пшеничная мука: 2 столовые ложки, Растительное масло: 1 чайная ложка;Китайская кухня;20 минут
Омлет с кабачками;Разогреть на сковороде оливковое масло. Кабачки нарезать на небольшие кусочки. Обжарить до мягкости. Взбейте яйцо, добавив соль и перец. Разогрейте сковороду и вылейте яйцо. Когда омлет достигнет полуготовности, выложите кабачки, тертый сыр. Посыпьте зеленью.;Куриное яйцо: 2 штуки, Кабачки: 100 г, Зелень: 1 пучок, Оливковое масло: 1,5 чайных ложек, Тертый сыр пармезан : по вкусу, Соль: по вкусу, Молотый черный перец: по вкусу;Европейская кухня;20 минут
Молочная гречневая каша;Подготовьте молоко, гречневую крупу и питьевую воду в соотношении 1:1:1, то есть, на стакан гречки вам понадобится по стакану молока и воды. Соль и сахар не обязательны, но вы можете использовать их по желанию, определив большее или меньшее количество на свой вкус. Переберите гречку, тщательно выбирая и удаляя не только соринки и примеси, но и потемневшие ядра. Налейте воду в небольшую неэмалированную кастрюлю или ковшик с толстым дном и доведите до кипения. Когда вода закипит, засыпьте в нее крупу и убавьте огонь до минимума. Накройте крышкой не плотно и дождитесь, пока жидкость полностью выпарится. Теперь влейте в кастрюлю стакан молока комнатной температуры. Чтобы каша получилась сладкой, добавьте сахар вместе с молоком. Варите гречку в молоке, помешивая, в течение 10 минут. Затем снимите с огня, плотно закройте и оставьте еще на 10-15 минут, чтобы каша настоялась. Масло, мед или варенье добавляйте в кашу непосредственно перед подачей. Используйте глубокую посуду вроде миски для мюсли или небольшой пиалы. Молочную гречневую кашу можно подогревать, но лучше готовить ее в том количестве, которое будет съедено за один раз, — так вкуснее.;Гречневая крупа: ½ стакана, Молоко: ½ стакана, Вода: ½ стакана, Сахар: по вкусу, Соль: по вкусу;Русская кухня;20 минут
Банош;В кастрюлю залить сливки, довести до кипения и добавить соль. Кукурузную муку смешать с водой. Добавить муку к сливкам и начать энергично мешать деревянной ложкой, уменьшив огонь до минимального. Мешать нужно на протяжении всей варки — около 25 минут. Готовый банош снять с огня. Лук нарезать соломкой, сало — небольшим кубиком. Обжарить лук с салом на сковороде до золотистого цвета. Подавать банош со шкварками сверху.;Кукурузная мука: 240 г, Жирные сливки: 600 мл, Копченое сало: 200 г, Репчатый лук: 1 головка, Вода: 300 мл;Украинская кухня;40 минут
Классические сырники;Творог протереть через мелкое сито. Это нужно для того, чтобы сырники были однородными и нежными по текстуре. В отдельной миске взбить яйца. Добавить к творогу яйца, сахар и соль. Перемешать. Вмешать в творожную массу 60 грамм муки. Лучше сначала добавить меньше муки, так как необходимое количество муки зависит от влажности творога. Правильная масса должна хорошо держать форму, но при этом быть не очень плотной. Готовое тесто для сырников накрыть пленкой и убрать в холодильник на 15–20 минут. Это нужно для того, чтобы мука разошлась. Сформовать из массы сырники одинакового размера и обвалять их в муке. В сковороде разогреть растительное и сливочное масло. Обжарить сырники с обеих сторон до золотистой корочки. Переложить сырники на противень и запечь в духовке, разогретой до 200 градусов, в течение 7–10 минут. Подавать со сметаной, любимым вареньем или медом.;Творог: 500 г, Сахар: 50 г, Ванильный сахар: 15 г, Куриное яйцо: 2 штуки, Пшеничная мука: 100 г, Растительное масло: 40 мл, Сливочное масло: 20 г, Соль: щепотка;Русская кухня;1 час
Яичница-глазунья;На сковороде разогреть масло, выпустить яйца, стараясь не разорвать оболочки желтков, посолить, подержать сковороду 1–2 минуты на плите, а затем поставить на 3–4 минуты в горячий духовой шкаф. Как только белок примет молочно-белый цвет, яичницу надо подать на той же сковороде или на подогретой тарелке.;Куриное яйцо: 2 штуки, Соль: по вкусу, Растительное масло: 1 столовая ложка;Русская кухня;30 минут
